Morpheme	Meanings
abari	east
abwa	reeds; plants suitable for weaving into various manufactured goods
acap	west
adun	country; nation; state; citizenship; government
agab	cows; bulls; veal; beef; stupidity; uncivilized behavior
aham	sky; blue
aje	string; rope; strands; threads; woven materials made from same
ajo	wild canines; wolves; coyotes
amu	color; hue; shade; tone (of color)
angaha	south
ara	movement; conveyance; motion; going; coming; life
aratu	north
aru	royalty; hereditary leadership
atero	hardness (oppose softness)
atsi	entertainment; diversion; art forms revolving around entertaining behavior
awa	disease; sickness
awug	beetles; hard-shelled insects
ba	beverages; drinks; drinking; production of same
ban	addition; supplementation
bari	abuse; maltreatment; mistreatment; of or relating to same
bats	ants; insects of genus Hymenoptera
be	apparatus; equipment
bebe	brightness; reflectivity
beci	vulgar root for bodily excretions
beham	situatedness; emplacement; situation
beje	form; shape; contour
bekra	armor; protective plating
ben	health; medicine
biba	redness; apple
bihjo	stories; folklore; tales; fictional narratives; narratives inspired by real events; history
bijaci	era; period in history
biju	wind; breeze
biming	purple; violet; lavender
bingu	patience
biru	whiteness; paleness
bja	seed; sperm; origination
bjama	beauty
bobi	grapes
bodim	ugliness; visual displeasingness
boro	wood; trees; forests
bowa	manner of doing; means of doing; way of doing
bruwi	outdoors; outdoor environment; wilderness; undeveloped areas
buru	enslavement; slavery; servitude
cabi	general term for an animal
cabo	work; career; vocation; trade; jobs
caho	fish; saltwater fish; sea fish
caje	essence of a thing; descriptive qualities of a thing
cana	power; potential; capability
cange	gold; precious metals
caru	heart (cardia)
catsi	foxes; wile; cunning; wild dogs (but not wolves or coyotes)
cebi	snow; ice; coldness
cedang	uniqueness; dissimilarity
cedo	thunder; lightning; electricity; loud noise
cega	worms; worm-like creatures
ceja	bitterness; bitter flavor; intense flavor
ceja	brown; coffee
ceki	louse; lice; ticks; similar nuisance creatures
ceko	root (of a plant)
ceme	persuasion; convincing; winning-over
cepe	cleanliness; clean state; cleaning; cleansing; washing; order; orderliness
cevi	goodness; good nature; opposite of badness
ciba	lonesomeness; loneliness; oneness; isolation; solitude
cido	animals NEC
cidu	happiness; contentment
